x,y
-1.47,0.00073166008958549
-1.468,0.000739493273788719
-1.466,0.000747496543558463
-1.464,0.000755674384040511
-1.462,0.000764033139937445
-1.46,0.000772578881888231
-1.458,0.000781317955205455
-1.456,0.000790257605457717
-1.454,0.000799403569992701
-1.452,0.000808763713046844
-1.45,0.000818345647144381
-1.448,0.00082815734989648
-1.446,0.000838207872278076
-1.444,0.000848504634873706
-1.442,0.000859057519941208
-1.44,0.000869876204043735
-1.438,0.000880970857415211
-1.436,0.000892352175849151
-1.434,0.000904032213210347
-1.432,0.00091602124739909
-1.43,0.000928332546124257
-1.428,0.000940979280077337
-1.426,0.000953975347562845
-1.424,0.000967336339255434
-1.422,0.00097833522503621
-1.42,0.000985313156865415
-1.418,0.000992391343323794
-1.416,0.000999571960639902
-1.414,0.00100685774348824
-1.412,0.00101425001460956
-1.41,0.00102175163552603
-1.408,0.00102936505064396
-1.406,0.001037092777773
-1.404,0.00104493794405398
-1.402,0.00105290216441314
-1.4,0.00106098871922394
-1.398,0.00106920044898066
-1.396,0.00107754028280171
-1.394,0.00108601181780243
-1.392,0.00109461702834994
-1.39,0.00110335969795528
-1.388,0.00111224314677917
-1.386,0.00112127080277624
-1.384,0.00113044683008468
-1.382,0.00113977364807708
-1.38,0.00114925564933786
-1.378,0.00115889673935801
-1.376,0.00116870095578966
-1.374,0.00117867315243847
-1.372,0.00118881630350109
-1.37,0.00119913554505922
-1.368,0.00120963550280201
-1.366,0.00122032096586498
-1.364,0.00123119763427298
-1.362,0.00124226917935019
-1.36,0.00125354165302236
-1.358,0.00126502057511492
-1.356,0.00127671166950623
-1.354,0.00128862087364468
-1.352,0.00130075517475722
-1.35,0.00131311933164278
-1.348,0.00132572079595034
-1.346,0.00133856646590348
-1.344,0.00135166350970518
-1.342,0.00136502028868046
-1.34,0.00137864275044614
-1.338,0.00139253984853409
-1.336,0.0014067199727448
-1.334,0.00142119185812508
-1.332,0.00143596560974549
-1.33,0.00145104871570144
-1.328,0.00146645204529962
-1.326,0.00148218590577264
-1.324,0.00149826105150419
-1.322,0.00151468982879863
-1.32,0.00153148174597893
-1.318,0.00154865014873998
-1.316,0.00156620784220456
-1.314,0.00158416821886274
-1.312,0.00160254654662174
-1.31,0.00162135501895671
-1.308,0.00164061023010199
-1.306,0.00166032828776213
-1.304,0.00168052608343878
-1.302,0.00170122275385433
-1.3,0.00172243411563353
-1.298,0.00174418109505276
-1.296,0.00176648423921716
-1.294,0.00178936515980219
-1.292,0.00181284820759945
-1.29,0.00183695417211938
-1.288,0.00186170986415336
-1.286,0.0018871419106759
-1.284,0.00191327841377262
-1.282,0.00194015089220416
-1.28,0.00195850887473241
-1.278,0.00197249106937332
-1.276,0.00198667434304181
-1.274,0.00200106306475315
-1.272,0.00201566173101841
-1.27,0.00203047597707981
-1.268,0.00204550857056106
-1.266,0.00206076541134055
-1.264,0.00207625155490763
-1.262,0.00209197220986526
-1.26,0.00210793382858113
-1.258,0.00212413979080127
-1.256,0.00214059686906352
-1.254,0.00215731094561428
-1.252,0.00217428808786332
-1.25,0.00219153572829237
-1.248,0.00220905800071622
-1.246,0.00222686272772199
-1.244,0.00224495679444724
-1.242,0.00226334731163961
-1.24,0.00228204289638935
-1.238,0.00230104861751696
-1.236,0.00232037357108098
-1.234,0.00234002586825472
-1.232,0.00236001389734746
-1.23,0.00238034771905621
-1.228,0.00240103356991955
-1.226,0.00242208210361615
-1.224,0.00244350294282227
-1.222,0.00246530605366254
-1.22,0.002487503271832
-1.218,0.00251010230382778
-1.216,0.00253311572615881
-1.214,0.0025565550420808
-1.212,0.00258043218459162
-1.21,0.00260476119312816
-1.208,0.00262955164090185
-1.206,0.00265481850206273
-1.204,0.00268057564314837
-1.202,0.00270683747410298
-1.2,0.00273361897515984
-1.198,0.00276093758636356
-1.196,0.00278880583143657
-1.194,0.00281724240390012
-1.192,0.00284626486801628
-1.19,0.00287589151934978
-1.188,0.00290614348515852
-1.186,0.00293703656165948
-1.184,0.00296859349837438
-1.182,0.0030008359262187
-1.18,0.00303378642617589
-1.178,0.00306747087924679
-1.176,0.00310190938577499
-1.174,0.00313712995499566
-1.172,0.00317315953260971
-1.17,0.00321002631657317
-1.168,0.00324776240588149
-1.166,0.00328639364031481
-1.164,0.003325954953448
-1.162,0.00336648034315744
-1.16,0.00340800548475883
-1.158,0.00345057074259719
-1.156,0.00349420972936083
-1.154,0.00353896664938656
-1.152,0.00358488501848894
-1.15,0.00363201064065617
-1.148,0.00368039506740802
-1.146,0.00373008262460853
-1.144,0.00378113016651374
-1.142,0.00383359430351846
-1.14,0.00388753483216024
-1.138,0.003916862302591
-1.136,0.0039448244644607
-1.134,0.00397318873616514
-1.132,0.00400196385433281
-1.13,0.00403115881053258
-1.128,0.00406078487357635
-1.126,0.00409084757747617
-1.124,0.00412135872020542
-1.122,0.00415232841106024
-1.12,0.00418376706550006
